day,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
17,0.005901083287983842,0.007072144554862147,0.001356187078500407,0.0031907887877031826,0.0015947068593608264,0.00644650329353887,0.0024563067916134793,0.0031314629246435347,0.006293912103468936,0.005595682870447422
18,0.006212763118133134,0.0046273929410941324,0.0017932480500851091,0.004757567802563632,0.002011318658070519,0.006213153005354846,0.002310864698639049,0.0027879673167477727,0.0061792423990309694,0.004281206848357287
19,0.00618667103007647,0.004154738338539779,0.001764662661497437,0.004952849592826479,0.0020213649312387904,0.006364404323605577,0.002219076789855278,0.0027836909580109155,0.006445702936419116,0.004501396078648687
20,0.0062541877083790096,0.0039048657707668037,0.0019437448978885034,0.004818994072315854,0.002083612399030515,0.0061299507017251835,0.0026220850720492803,0.0029223211953730128,0.006154962964785899,0.004161686219438337
21,0.006306620947735823,0.004137928052472866,0.0017821191398251451,0.0050525475587244175,0.002082488266046625,0.006161191097459701,0.002883923541584724,0.0029268679712221492,0.006318624220859106,0.004102945515007291
22,0.00630669527309165,0.0047379391047466125,0.0017713068473245628,0.004540668479971281,0.00195672967817533,0.00643127030227545,0.0031330360475677124,0.0028521938583348813,0.006101087821873452,0.004034475433054883
23,0.005925684165009662,0.008336009971730948,0.0013100018981290291,0.0025262735964675202,0.0016370688089884166,0.007132443188960584,0.003429384216507866,0.003101642596307784,0.005508188404314927,0.003689726294079494
24,0.006048759523269736,0.007633181063752218,0.0011927484021616354,0.002824381811070811,0.0015445302512088087,0.007110562815823429,0.0033892206142071236,0.003284173025439504,0.0057590420981352974,0.003858149784644884
25,0.0062362105838835395,0.004691925864335307,0.001724286365622012,0.0051919365632974515,0.0019853256486521906,0.006049085218756518,0.003597042779578421,0.0029295345475002323,0.006138289784200655,0.0036666429483366556
26,0.006237700594860058,0.004404150457661421,0.0017636979627572733,0.004829643903398225,0.0019426445249556964,0.006396129255919079,0.004178840680250374,0.0028029308395087615,0.0063049361000074924,0.0037054098188631377
27,0.0060618179283363745,0.0048118421178004345,0.0019243569311607567,0.0050024453000775205,0.0020238549249227203,0.006004111185346831,0.003234180807374378,0.002609090408295324,0.005982271494672913,0.0037384238567050652
28,0.006028002343136629,0.004470483549304636,0.0015642895034460832,0.005547273647230428,0.0018924573356768688,0.006373633688086306,0.0025628780004841338,0.0025936463188163486,0.006180896151097654,0.003760212831703657
29,0.005895574886689183,0.004696590347320932,0.0016478178819438396,0.005498842608109526,0.001857729282649525,0.006753321165955014,0.002676679724324631,0.0022481996818815853,0.006144055009139871,0.003991432182871781
30,0.005764896261522397,0.007818014366432837,0.0011249582419927044,0.0033187967128924466,0.0016453275806587082,0.006923400834605307,0.0031930689338852585,0.0019959497258134535,0.005924298090120835,0.004160914264332302
